ticket_id,created_at,description,true_category,true_priority,true_sentiment,customer_name,ticket_length,description_clean,text_length,word_count,day_of_week,hour
1,2026-06-08 16:09:05.864228,Your platform has transformed our workflow.,Other,Low,Neutral,Customer_9935,6,your platform has transformed our workflow,42,6,Monday,16
2,2026-06-15 00:09:05.864228,Cannot login to my account. Getting 500 error on login page.,Bug,High,Positive,Customer_1434,11,cannot login to my account getting 500 error on login page,58,11,Monday,0
3,2026-06-17 01:09:05.864228,I need to add team members to my workspace.,Account,Low,Neutral,Customer_5557,9,i need to add team members to my workspace,42,9,Wednesday,1
4,2026-06-27 13:09:05.864228,Mobile app freezes when uploading files larger than 50MB.,Bug,High,Neutral,Customer_6514,9,mobile app freezes when uploading files larger than 50mb,56,9,Saturday,13
5,2026-06-06 18:09:05.864228,Export to CSV feature crashes when I select more than 1000 rows.,Bug,Low,Positive,Customer_8527,12,export to csv feature crashes when i select more than 1000 rows,63,12,Saturday,18
6,2026-06-04 23:09:05.864228,How do I change my email address?,Account,Low,Negative,Customer_6925,7,how do i change my email address?,33,7,Thursday,23
7,2026-06-04 12:09:05.864228,"I forgot my password, please reset it. This is urgent!",Account,Low,Positive,Customer_2654,10,i forgot my password please reset it this is urgent!,52,10,Thursday,12
8,2026-06-20 13:09:05.864228,How do I reset my API key?,Technical Support,Low,Neutral,Customer_5374,7,how do i reset my api key?,26,7,Saturday,13
9,2026-06-13 20:09:05.864228,Can you recommend best practices for scaling?,Other,Critical,Negative,Customer_5010,7,can you recommend best practices for scaling?,45,7,Saturday,20
10,2026-06-21 18:09:05.864228,Can you implement two-factor authentication?,Feature Request,Medium,Positive,Customer_4752,5,can you implement twofactor authentication?,43,5,Sunday,18
11,2026-06-01 01:09:05.864228,Cannot login to my account. Getting 500 error on login page.,Bug,Critical,Negative,Customer_6155,11,cannot login to my account getting 500 error on login page,58,11,Monday,1
12,2026-06-27 12:09:05.864228,We need API access for custom integrations.,Feature Request,Medium,Neutral,Customer_9830,7,we need api access for custom integrations,42,7,Saturday,12
13,2026-06-24 15:09:05.864228,I was charged but didn't confirm the transaction.,Billing,High,Negative,Customer_9348,8,i was charged but didnt confirm the transaction,47,8,Wednesday,15
14,2026-06-25 22:09:05.864228,How do I connect my database to the platform?,Technical Support,Low,Positive,Customer_7916,9,how do i connect my database to the platform?,45,9,Thursday,22
15,2026-06-14 19:09:05.864228,How do I delete my account?,Account,Low,Neutral,Customer_2876,6,how do i delete my account?,27,6,Sunday,19
16,2026-06-18 14:09:05.864228,Question about your roadmap priorities.,Other,High,Negative,Customer_8433,5,question about your roadmap priorities,38,5,Thursday,14
17,2026-06-15 16:09:05.864228,Export to CSV feature crashes when I select more than 1000 rows. Thanks in advance.,Bug,Critical,Negative,Customer_5889,15,export to csv feature crashes when i select more than 1000 rows thanks in advance,81,15,Monday,16
18,2026-06-01 03:09:05.864228,Question about your roadmap priorities. Losing money on this.,Other,Medium,Positive,Customer_1009,9,question about your roadmap priorities losing money on this,59,9,Monday,3
19,2026-06-24 18:09:05.864228,Can you update my billing address? Been waiting 3 days.,Account,Low,Positive,Customer_4946,10,can you update my billing address? been waiting 3 days,54,10,Wednesday,18
20,2026-06-07 15:09:05.864228,How do I delete my account? Losing money on this.,Account,Critical,Neutral,Customer_3103,10,how do i delete my account? losing money on this,48,10,Sunday,15
21,2026-06-12 06:09:05.864228,Question about your roadmap priorities.,Other,Medium,Neutral,Customer_4470,5,question about your roadmap priorities,38,5,Friday,6
22,2026-06-09 23:09:05.864228,Can you update my billing address?,Account,High,Negative,Customer_7118,6,can you update my billing address?,34,6,Tuesday,23
23,2026-06-21 19:09:05.864228,What's the maximum file size I can upload?,Technical Support,High,Negative,Customer_4770,8,whats the maximum file size i can upload?,41,8,Sunday,19
24,2026-06-03 18:09:05.864228,How do I change my email address?,Account,Low,Positive,Customer_6413,7,how do i change my email address?,33,7,Wednesday,18
25,2026-06-26 20:09:05.864228,Mobile app freezes when uploading files larger than 50MB.,Bug,High,Neutral,Customer_8744,9,mobile app freezes when uploading files larger than 50mb,56,9,Friday,20
26,2026-06-10 06:09:05.864228,Would love to see integration with Slack for notifications.,Feature Request,High,Negative,Customer_6804,9,would love to see integration with slack for notifications,58,9,Wednesday,6
27,2026-06-11 16:09:05.864228,How do I connect my database to the platform?,Technical Support,Medium,Negative,Customer_1993,9,how do i connect my database to the platform?,45,9,Thursday,16
28,2026-06-25 02:09:05.864228,How do I connect my database to the platform?,Technical Support,Medium,Negative,Customer_8350,9,how do i connect my database to the platform?,45,9,Thursday,2
29,2026-06-17 02:09:05.864228,Would love to see integration with Slack for notifications. This is urgent!,Feature Request,Medium,Positive,Customer_2604,12,would love to see integration with slack for notifications this is urgent!,74,12,Wednesday,2
30,2026-06-26 06:09:05.864228,Cannot login to my account. Getting 500 error on login page. Thanks in advance.,Bug,High,Negative,Customer_8956,14,cannot login to my account getting 500 error on login page thanks in advance,76,14,Friday,6
31,2026-07-01 07:09:05.864228,How do I connect my database to the platform?,Technical Support,Low,Neutral,Customer_5345,9,how do i connect my database to the platform?,45,9,Wednesday,7
32,2026-06-16 15:09:05.864228,How do I backup my data?,Technical Support,Low,Neutral,Customer_4111,6,how do i backup my data?,24,6,Tuesday,15
33,2026-06-21 18:09:05.864228,I was charged but didn't confirm the transaction.,Billing,Medium,Positive,Customer_1821,8,i was charged but didnt confirm the transaction,47,8,Sunday,18
34,2026-06-01 03:09:05.864228,I need to add team members to my workspace.,Account,Medium,Negative,Customer_2312,9,i need to add team members to my workspace,42,9,Monday,3
35,2026-06-01 01:09:05.864228,Would love to see integration with Slack for notifications.,Feature Request,Low,Positive,Customer_5033,9,would love to see integration with slack for notifications,58,9,Monday,1
36,2026-06-13 03:09:05.864228,How do I delete my account?,Account,Medium,Neutral,Customer_6183,6,how do i delete my account?,27,6,Saturday,3
37,2026-06-26 22:09:05.864228,I need an invoice for my payment on July 1st.,Billing,Medium,Neutral,Customer_5915,10,i need an invoice for my payment on july 1st,44,10,Friday,22
38,2026-06-12 01:09:05.864228,How do I connect my database to the platform?,Technical Support,Low,Neutral,Customer_2638,9,how do i connect my database to the platform?,45,9,Friday,1
39,2026-06-03 12:09:05.864228,"Dashboard widgets not loading. Tried refreshing, still broken. This is urgent!",Bug,High,Negative,Customer_7054,11,dashboard widgets not loading tried refreshing still broken this is urgent!,75,11,Wednesday,12
40,2026-06-05 23:09:05.864228,Can I upgrade to the enterprise plan?,Billing,Low,Negative,Customer_9666,7,can i upgrade to the enterprise plan?,37,7,Friday,23
41,2026-06-23 16:09:05.864228,Cannot login to my account. Getting 500 error on login page. Thanks in advance.,Bug,High,Negative,Customer_2753,14,cannot login to my account getting 500 error on login page thanks in advance,76,14,Tuesday,16
42,2026-06-21 13:09:05.864228,Can you recommend best practices for scaling?,Other,Medium,Positive,Customer_5325,7,can you recommend best practices for scaling?,45,7,Sunday,13
43,2026-06-18 11:09:05.864228,How do I change my email address?,Account,Medium,Negative,Customer_1722,7,how do i change my email address?,33,7,Thursday,11
44,2026-06-17 02:09:05.864228,Export to CSV feature crashes when I select more than 1000 rows.,Bug,Medium,Positive,Customer_8007,12,export to csv feature crashes when i select more than 1000 rows,63,12,Wednesday,2
45,2026-06-05 08:09:05.864228,"I forgot my password, please reset it.",Account,Low,Positive,Customer_3426,7,i forgot my password please reset it,36,7,Friday,8
46,2026-06-10 12:09:05.864228,How do I connect my database to the platform? Thanks in advance.,Technical Support,Low,Neutral,Customer_2684,12,how do i connect my database to the platform? thanks in advance,63,12,Wednesday,12
47,2026-06-02 12:09:05.864228,Do you offer annual subscription discounts? Thanks in advance.,Billing,High,Negative,Customer_3662,9,do you offer annual subscription discounts? thanks in advance,61,9,Tuesday,12
48,2026-06-05 22:09:05.864228,Please add bulk edit functionality for records. Please help ASAP.,Feature Request,High,Positive,Customer_5065,10,please add bulk edit functionality for records please help asap,63,10,Friday,22
49,2026-06-24 13:09:05.864228,Do you offer annual subscription discounts? Please help ASAP.,Billing,Low,Neutral,Customer_8541,9,do you offer annual subscription discounts? please help asap,60,9,Wednesday,13
50,2026-06-10 13:09:05.864228,I need an invoice for my payment on July 1st.,Billing,Medium,Neutral,Customer_7528,10,i need an invoice for my payment on july 1st,44,10,Wednesday,13
51,2026-06-15 07:09:05.864228,Can I upgrade to the enterprise plan?,Billing,Medium,Positive,Customer_9785,7,can i upgrade to the enterprise plan?,37,7,Monday,7
52,2026-06-01 11:09:05.864228,Can I upgrade to the enterprise plan?,Billing,Critical,Neutral,Customer_1626,7,can i upgrade to the enterprise plan?,37,7,Monday,11
53,2026-06-15 16:09:05.864228,Export to CSV feature crashes when I select more than 1000 rows.,Bug,High,Neutral,Customer_7311,12,export to csv feature crashes when i select more than 1000 rows,63,12,Monday,16
54,2026-06-02 02:09:05.864228,How do I delete my account?,Account,Low,Positive,Customer_4228,6,how do i delete my account?,27,6,Tuesday,2
55,2026-06-10 16:09:05.864228,Can I upgrade to the enterprise plan?,Billing,Medium,Negative,Customer_5920,7,can i upgrade to the enterprise plan?,37,7,Wednesday,16
56,2026-06-14 15:09:05.864228,How do I delete my account?,Account,Low,Neutral,Customer_4143,6,how do i delete my account?,27,6,Sunday,15
57,2026-06-22 07:09:05.864228,What's the maximum file size I can upload?,Technical Support,Medium,Neutral,Customer_9977,8,whats the maximum file size i can upload?,41,8,Monday,7
58,2026-06-21 05:09:05.864228,Search function returns no results even though records exist.,Bug,Medium,Positive,Customer_8238,9,search function returns no results even though records exist,60,9,Sunday,5
59,2026-06-22 03:09:05.864228,What's the maximum file size I can upload?,Technical Support,Medium,Neutral,Customer_6491,8,whats the maximum file size i can upload?,41,8,Monday,3
60,2026-06-25 15:09:05.864228,Export to CSV feature crashes when I select more than 1000 rows.,Bug,Critical,Negative,Customer_1400,12,export to csv feature crashes when i select more than 1000 rows,63,12,Thursday,15
61,2026-06-02 23:09:05.864228,Cannot login to my account. Getting 500 error on login page.,Bug,Medium,Neutral,Customer_4185,11,cannot login to my account getting 500 error on login page,58,11,Tuesday,23
62,2026-06-09 19:09:05.864228,Your platform has transformed our workflow.,Other,Medium,Neutral,Customer_2746,6,your platform has transformed our workflow,42,6,Tuesday,19
63,2026-06-14 12:09:05.864228,How do I backup my data?,Technical Support,Low,Negative,Customer_2988,6,how do i backup my data?,24,6,Sunday,12
64,2026-06-21 05:09:05.864228,How do I backup my data? Losing money on this.,Technical Support,Low,Neutral,Customer_9270,10,how do i backup my data? losing money on this,45,10,Sunday,5
65,2026-06-17 11:09:05.864228,What's the maximum file size I can upload? Please help ASAP.,Technical Support,High,Negative,Customer_5050,11,whats the maximum file size i can upload? please help asap,58,11,Wednesday,11
66,2026-06-23 05:09:05.864228,Is there a community forum?,Other,Low,Neutral,Customer_2269,5,is there a community forum?,27,5,Tuesday,5
67,2026-06-27 15:09:05.864228,Question about your roadmap priorities. This is urgent!,Other,Low,Positive,Customer_4788,8,question about your roadmap priorities this is urgent!,54,8,Saturday,15
68,2026-06-21 02:09:05.864228,How do I connect my database to the platform?,Technical Support,Medium,Neutral,Customer_8633,9,how do i connect my database to the platform?,45,9,Sunday,2
69,2026-05-31 21:09:05.864228,Can you help me configure LDAP authentication? Losing money on this.,Technical Support,Low,Negative,Customer_1320,11,can you help me configure ldap authentication? losing money on this,67,11,Sunday,21
70,2026-06-19 06:09:05.864228,Can you update my billing address?,Account,Low,Positive,Customer_9818,6,can you update my billing address?,34,6,Friday,6
71,2026-06-23 06:09:05.864228,Your platform has transformed our workflow.,Other,Medium,Neutral,Customer_8956,6,your platform has transformed our workflow,42,6,Tuesday,6
72,2026-06-02 15:09:05.864228,Mobile app freezes when uploading files larger than 50MB. Please help ASAP.,Bug,Medium,Neutral,Customer_9751,12,mobile app freezes when uploading files larger than 50mb please help asap,73,12,Tuesday,15
73,2026-06-18 15:09:05.864228,Cannot login to my account. Getting 500 error on login page.,Bug,Critical,Negative,Customer_8564,11,cannot login to my account getting 500 error on login page,58,11,Thursday,15
74,2026-06-21 07:09:05.864228,Would love to see integration with Slack for notifications.,Feature Request,Low,Neutral,Customer_5558,9,would love to see integration with slack for notifications,58,9,Sunday,7
75,2026-06-01 08:09:05.864228,How do I connect my database to the platform? This is urgent!,Technical Support,Low,Positive,Customer_4673,12,how do i connect my database to the platform? this is urgent!,61,12,Monday,8
76,2026-06-25 19:09:05.864228,Just wanted to say thanks for great support! Thanks in advance.,Other,Low,Negative,Customer_3496,11,just wanted to say thanks for great support! thanks in advance,62,11,Thursday,19
77,2026-06-09 11:09:05.864228,Can you implement two-factor authentication? Please help ASAP.,Feature Request,Low,Neutral,Customer_7043,8,can you implement twofactor authentication? please help asap,60,8,Tuesday,11
78,2026-06-01 10:09:05.864228,Can we add dark mode to the platform? Thanks in advance.,Feature Request,Medium,Negative,Customer_2771,11,can we add dark mode to the platform? thanks in advance,55,11,Monday,10
79,2026-06-09 13:09:05.864228,How do I delete my account?,Account,Low,Neutral,Customer_2245,6,how do i delete my account?,27,6,Tuesday,13
80,2026-06-21 22:09:05.864228,How do I change my email address?,Account,Medium,Neutral,Customer_2983,7,how do i change my email address?,33,7,Sunday,22
81,2026-06-29 03:09:05.864228,How do I delete my account?,Account,High,Neutral,Customer_6590,6,how do i delete my account?,27,6,Monday,3
82,2026-06-19 23:09:05.864228,Cannot login to my account. Getting 500 error on login page.,Bug,Critical,Negative,Customer_8532,11,cannot login to my account getting 500 error on login page,58,11,Friday,23
83,2026-06-12 02:09:05.864228,Can you recommend best practices for scaling? Been waiting 3 days.,Other,Low,Positive,Customer_8921,11,can you recommend best practices for scaling? been waiting 3 days,65,11,Friday,2
84,2026-06-24 17:09:05.864228,How do I reset my API key?,Technical Support,Medium,Neutral,Customer_5569,7,how do i reset my api key?,26,7,Wednesday,17
85,2026-06-21 19:09:05.864228,How do I backup my data?,Technical Support,Low,Neutral,Customer_9098,6,how do i backup my data?,24,6,Sunday,19
86,2026-06-03 00:09:05.864228,Can I upgrade to the enterprise plan?,Billing,Low,Positive,Customer_5526,7,can i upgrade to the enterprise plan?,37,7,Wednesday,0
87,2026-06-18 04:09:05.864228,How do I change my email address?,Account,Low,Negative,Customer_4937,7,how do i change my email address?,33,7,Thursday,4
88,2026-06-22 12:09:05.864228,Is there a community forum? This is urgent!,Other,Medium,Neutral,Customer_7625,8,is there a community forum? this is urgent!,43,8,Monday,12
89,2026-06-15 08:09:05.864228,Question about your roadmap priorities.,Other,Low,Neutral,Customer_7971,5,question about your roadmap priorities,38,5,Monday,8
90,2026-06-23 12:09:05.864228,Is there a community forum?,Other,Medium,Neutral,Customer_2976,5,is there a community forum?,27,5,Tuesday,12
91,2026-06-25 13:09:05.864228,Can you recommend best practices for scaling? Thanks in advance.,Other,Low,Positive,Customer_8933,10,can you recommend best practices for scaling? thanks in advance,63,10,Thursday,13
92,2026-06-28 13:09:05.864228,I was charged but didn't confirm the transaction.,Billing,High,Negative,Customer_5853,8,i was charged but didnt confirm the transaction,47,8,Sunday,13
93,2026-06-30 18:09:05.864228,Can you implement two-factor authentication?,Feature Request,Low,Neutral,Customer_5786,5,can you implement twofactor authentication?,43,5,Tuesday,18
94,2026-07-01 01:09:05.864228,Is there a community forum?,Other,Critical,Negative,Customer_5658,5,is there a community forum?,27,5,Wednesday,1
95,2026-06-04 04:09:05.864228,How do I connect my database to the platform?,Technical Support,Medium,Neutral,Customer_2869,9,how do i connect my database to the platform?,45,9,Thursday,4
96,2026-06-06 01:09:05.864228,Cannot login to my account. Getting 500 error on login page.,Bug,High,Positive,Customer_5978,11,cannot login to my account getting 500 error on login page,58,11,Saturday,1
97,2026-06-06 00:09:05.864228,Mobile app freezes when uploading files larger than 50MB.,Bug,Critical,Neutral,Customer_4697,9,mobile app freezes when uploading files larger than 50mb,56,9,Saturday,0
98,2026-06-22 01:09:05.864228,Can you update my billing address? Please help ASAP.,Account,Low,Negative,Customer_1986,9,can you update my billing address? please help asap,51,9,Monday,1
99,2026-06-22 22:09:05.864228,"I forgot my password, please reset it.",Account,Critical,Neutral,Customer_2330,7,i forgot my password please reset it,36,7,Monday,22
100,2026-06-16 21:09:05.864228,Would love to see integration with Slack for notifications.,Feature Request,Low,Neutral,Customer_8699,9,would love to see integration with slack for notifications,58,9,Tuesday,21
101,2026-06-28 22:09:05.864228,Can I upgrade to the enterprise plan? Please help ASAP.,Billing,Low,Positive,Customer_4824,10,can i upgrade to the enterprise plan? please help asap,54,10,Sunday,22
102,2026-06-14 12:09:05.864228,I need an invoice for my payment on July 1st.,Billing,High,Negative,Customer_3441,10,i need an invoice for my payment on july 1st,44,10,Sunday,12
103,2026-06-08 01:09:05.864228,I need an invoice for my payment on July 1st. Losing money on this.,Billing,High,Positive,Customer_5728,14,i need an invoice for my payment on july 1st losing money on this,65,14,Monday,1
104,2026-06-14 04:09:05.864228,Can you help me configure LDAP authentication? Losing money on this.,Technical Support,Low,Neutral,Customer_8172,11,can you help me configure ldap authentication? losing money on this,67,11,Sunday,4
105,2026-07-01 17:09:05.864228,Export to CSV feature crashes when I select more than 1000 rows.,Bug,High,Negative,Customer_4750,12,export to csv feature crashes when i select more than 1000 rows,63,12,Wednesday,17
106,2026-06-13 18:09:05.864228,Just wanted to say thanks for great support! Been waiting 3 days.,Other,High,Negative,Customer_3870,12,just wanted to say thanks for great support! been waiting 3 days,64,12,Saturday,18
107,2026-06-13 06:09:05.864228,How do I reset my API key?,Technical Support,Medium,Neutral,Customer_9056,7,how do i reset my api key?,26,7,Saturday,6
108,2026-06-04 14:09:05.864228,Export to CSV feature crashes when I select more than 1000 rows.,Bug,High,Negative,Customer_6403,12,export to csv feature crashes when i select more than 1000 rows,63,12,Thursday,14
109,2026-06-30 05:09:05.864228,Can you help me configure LDAP authentication? Losing money on this.,Technical Support,Medium,Positive,Customer_2442,11,can you help me configure ldap authentication? losing money on this,67,11,Tuesday,5
110,2026-06-10 02:09:05.864228,Do you offer annual subscription discounts? This is urgent!,Billing,Medium,Positive,Customer_8569,9,do you offer annual subscription discounts? this is urgent!,59,9,Wednesday,2
111,2026-06-07 18:09:05.864228,How do I backup my data? Please help ASAP.,Technical Support,Low,Neutral,Customer_4335,9,how do i backup my data? please help asap,41,9,Sunday,18
112,2026-06-28 19:09:05.864228,Do you offer annual subscription discounts? Please help ASAP.,Billing,Medium,Negative,Customer_4920,9,do you offer annual subscription discounts? please help asap,60,9,Sunday,19
113,2026-06-24 16:09:05.864228,Can you recommend best practices for scaling?,Other,Low,Neutral,Customer_8560,7,can you recommend best practices for scaling?,45,7,Wednesday,16
114,2026-06-23 06:09:05.864228,Export to CSV feature crashes when I select more than 1000 rows.,Bug,High,Neutral,Customer_8905,12,export to csv feature crashes when i select more than 1000 rows,63,12,Tuesday,6
115,2026-06-12 03:09:05.864228,Can you help me configure LDAP authentication?,Technical Support,Low,Neutral,Customer_3236,7,can you help me configure ldap authentication?,46,7,Friday,3
116,2026-06-06 03:09:05.864228,Mobile app freezes when uploading files larger than 50MB.,Bug,Medium,Neutral,Customer_5377,9,mobile app freezes when uploading files larger than 50mb,56,9,Saturday,3
117,2026-06-10 04:09:05.864228,Search function returns no results even though records exist.,Bug,Medium,Positive,Customer_3434,9,search function returns no results even though records exist,60,9,Wednesday,4
118,2026-06-17 09:09:05.864228,How do I backup my data? Please help ASAP.,Technical Support,Medium,Neutral,Customer_4090,9,how do i backup my data? please help asap,41,9,Wednesday,9
119,2026-06-08 04:09:05.864228,Is there a community forum?,Other,Low,Neutral,Customer_7246,5,is there a community forum?,27,5,Monday,4
120,2026-06-30 15:09:05.864228,What's the maximum file size I can upload?,Technical Support,Critical,Negative,Customer_9229,8,whats the maximum file size i can upload?,41,8,Tuesday,15
121,2026-06-02 05:09:05.864228,How do I delete my account?,Account,Low,Positive,Customer_1251,6,how do i delete my account?,27,6,Tuesday,5
122,2026-06-06 11:09:05.864228,Your platform has transformed our workflow.,Other,Low,Negative,Customer_6546,6,your platform has transformed our workflow,42,6,Saturday,11
123,2026-06-19 09:09:05.864228,Can you update my billing address? Losing money on this.,Account,Medium,Neutral,Customer_8994,10,can you update my billing address? losing money on this,55,10,Friday,9
124,2026-06-18 16:09:05.864228,Can you update my billing address? This is urgent!,Account,Low,Positive,Customer_2646,9,can you update my billing address? this is urgent!,50,9,Thursday,16
125,2026-06-06 18:09:05.864228,How do I connect my database to the platform?,Technical Support,Low,Positive,Customer_5806,9,how do i connect my database to the platform?,45,9,Saturday,18
