ticket_id,created_at,description,true_category,true_priority,true_sentiment,customer_name,ticket_length
1,2026-06-08T16:09:05.864228,Your platform has transformed our workflow.,Other,Low,Neutral,Customer_9935,6
2,2026-06-15T00:09:05.864228,Cannot login to my account. Getting 500 error on login page.,Bug,High,Positive,Customer_1434,11
3,2026-06-17T01:09:05.864228,I need to add team members to my workspace.,Account,Low,Neutral,Customer_5557,9
4,2026-06-27T13:09:05.864228,Mobile app freezes when uploading files larger than 50MB.,Bug,High,Neutral,Customer_6514,9
5,2026-06-06T18:09:05.864228,Export to CSV feature crashes when I select more than 1000 rows.,Bug,Low,Positive,Customer_8527,12
6,2026-06-04T23:09:05.864228,How do I change my email address?,Account,Low,Negative,Customer_6925,7
7,2026-06-04T12:09:05.864228,"I forgot my password, please reset it. This is urgent!",Account,Low,Positive,Customer_2654,10
8,2026-06-20T13:09:05.864228,How do I reset my API key?,Technical Support,Low,Neutral,Customer_5374,7
9,2026-06-13T20:09:05.864228,Can you recommend best practices for scaling?,Other,Critical,Negative,Customer_5010,7
10,2026-06-21T18:09:05.864228,Can you implement two-factor authentication?,Feature Request,Medium,Positive,Customer_4752,5
11,2026-06-01T01:09:05.864228,Cannot login to my account. Getting 500 error on login page.,Bug,Critical,Negative,Customer_6155,11
12,2026-06-27T12:09:05.864228,We need API access for custom integrations.,Feature Request,Medium,Neutral,Customer_9830,7
13,2026-06-24T15:09:05.864228,I was charged but didn't confirm the transaction.,Billing,High,Negative,Customer_9348,8
14,2026-06-25T22:09:05.864228,How do I connect my database to the platform?,Technical Support,Low,Positive,Customer_7916,9
15,2026-06-14T19:09:05.864228,How do I delete my account?,Account,Low,Neutral,Customer_2876,6
16,2026-06-18T14:09:05.864228,Question about your roadmap priorities.,Other,High,Negative,Customer_8433,5
17,2026-06-15T16:09:05.864228,Export to CSV feature crashes when I select more than 1000 rows. Thanks in advance.,Bug,Critical,Negative,Customer_5889,15
18,2026-06-01T03:09:05.864228,Question about your roadmap priorities. Losing money on this.,Other,Medium,Positive,Customer_1009,9
19,2026-06-24T18:09:05.864228,Can you update my billing address? Been waiting 3 days.,Account,Low,Positive,Customer_4946,10
20,2026-06-07T15:09:05.864228,How do I delete my account? Losing money on this.,Account,Critical,Neutral,Customer_3103,10
21,2026-06-12T06:09:05.864228,Question about your roadmap priorities.,Other,Medium,Neutral,Customer_4470,5
22,2026-06-09T23:09:05.864228,Can you update my billing address?,Account,High,Negative,Customer_7118,6
23,2026-06-21T19:09:05.864228,What's the maximum file size I can upload?,Technical Support,High,Negative,Customer_4770,8
24,2026-06-03T18:09:05.864228,How do I change my email address?,Account,Low,Positive,Customer_6413,7
25,2026-06-26T20:09:05.864228,Mobile app freezes when uploading files larger than 50MB.,Bug,High,Neutral,Customer_8744,9
26,2026-06-10T06:09:05.864228,Would love to see integration with Slack for notifications.,Feature Request,High,Negative,Customer_6804,9
27,2026-06-11T16:09:05.864228,How do I connect my database to the platform?,Technical Support,Medium,Negative,Customer_1993,9
28,2026-06-25T02:09:05.864228,How do I connect my database to the platform?,Technical Support,Medium,Negative,Customer_8350,9
29,2026-06-17T02:09:05.864228,Would love to see integration with Slack for notifications. This is urgent!,Feature Request,Medium,Positive,Customer_2604,12
30,2026-06-26T06:09:05.864228,Cannot login to my account. Getting 500 error on login page. Thanks in advance.,Bug,High,Negative,Customer_8956,14
31,2026-07-01T07:09:05.864228,How do I connect my database to the platform?,Technical Support,Low,Neutral,Customer_5345,9
32,2026-06-16T15:09:05.864228,How do I backup my data?,Technical Support,Low,Neutral,Customer_4111,6
33,2026-06-21T18:09:05.864228,I was charged but didn't confirm the transaction.,Billing,Medium,Positive,Customer_1821,8
34,2026-06-01T03:09:05.864228,I need to add team members to my workspace.,Account,Medium,Negative,Customer_2312,9
35,2026-06-01T01:09:05.864228,Would love to see integration with Slack for notifications.,Feature Request,Low,Positive,Customer_5033,9
36,2026-06-13T03:09:05.864228,How do I delete my account?,Account,Medium,Neutral,Customer_6183,6
37,2026-06-26T22:09:05.864228,I need an invoice for my payment on July 1st.,Billing,Medium,Neutral,Customer_5915,10
38,2026-06-12T01:09:05.864228,How do I connect my database to the platform?,Technical Support,Low,Neutral,Customer_2638,9
39,2026-06-03T12:09:05.864228,"Dashboard widgets not loading. Tried refreshing, still broken. This is urgent!",Bug,High,Negative,Customer_7054,11
40,2026-06-05T23:09:05.864228,Can I upgrade to the enterprise plan?,Billing,Low,Negative,Customer_9666,7
41,2026-06-23T16:09:05.864228,Cannot login to my account. Getting 500 error on login page. Thanks in advance.,Bug,High,Negative,Customer_2753,14
42,2026-06-21T13:09:05.864228,Can you recommend best practices for scaling?,Other,Medium,Positive,Customer_5325,7
43,2026-06-18T11:09:05.864228,How do I change my email address?,Account,Medium,Negative,Customer_1722,7
44,2026-06-17T02:09:05.864228,Export to CSV feature crashes when I select more than 1000 rows.,Bug,Medium,Positive,Customer_8007,12
45,2026-06-05T08:09:05.864228,"I forgot my password, please reset it.",Account,Low,Positive,Customer_3426,7
46,2026-06-10T12:09:05.864228,How do I connect my database to the platform? Thanks in advance.,Technical Support,Low,Neutral,Customer_2684,12
47,2026-06-02T12:09:05.864228,Do you offer annual subscription discounts? Thanks in advance.,Billing,High,Negative,Customer_3662,9
48,2026-06-05T22:09:05.864228,Please add bulk edit functionality for records. Please help ASAP.,Feature Request,High,Positive,Customer_5065,10
49,2026-06-24T13:09:05.864228,Do you offer annual subscription discounts? Please help ASAP.,Billing,Low,Neutral,Customer_8541,9
50,2026-06-10T13:09:05.864228,I need an invoice for my payment on July 1st.,Billing,Medium,Neutral,Customer_7528,10
51,2026-06-15T07:09:05.864228,Can I upgrade to the enterprise plan?,Billing,Medium,Positive,Customer_9785,7
52,2026-06-01T11:09:05.864228,Can I upgrade to the enterprise plan?,Billing,Critical,Neutral,Customer_1626,7
53,2026-06-15T16:09:05.864228,Export to CSV feature crashes when I select more than 1000 rows.,Bug,High,Neutral,Customer_7311,12
54,2026-06-02T02:09:05.864228,How do I delete my account?,Account,Low,Positive,Customer_4228,6
55,2026-06-10T16:09:05.864228,Can I upgrade to the enterprise plan?,Billing,Medium,Negative,Customer_5920,7
56,2026-06-14T15:09:05.864228,How do I delete my account?,Account,Low,Neutral,Customer_4143,6
57,2026-06-22T07:09:05.864228,What's the maximum file size I can upload?,Technical Support,Medium,Neutral,Customer_9977,8
58,2026-06-21T05:09:05.864228,Search function returns no results even though records exist.,Bug,Medium,Positive,Customer_8238,9
59,2026-06-22T03:09:05.864228,What's the maximum file size I can upload?,Technical Support,Medium,Neutral,Customer_6491,8
60,2026-06-25T15:09:05.864228,Export to CSV feature crashes when I select more than 1000 rows.,Bug,Critical,Negative,Customer_1400,12
61,2026-06-02T23:09:05.864228,Cannot login to my account. Getting 500 error on login page.,Bug,Medium,Neutral,Customer_4185,11
62,2026-06-09T19:09:05.864228,Your platform has transformed our workflow.,Other,Medium,Neutral,Customer_2746,6
63,2026-06-14T12:09:05.864228,How do I backup my data?,Technical Support,Low,Negative,Customer_2988,6
64,2026-06-21T05:09:05.864228,How do I backup my data? Losing money on this.,Technical Support,Low,Neutral,Customer_9270,10
65,2026-06-17T11:09:05.864228,What's the maximum file size I can upload? Please help ASAP.,Technical Support,High,Negative,Customer_5050,11
66,2026-06-23T05:09:05.864228,Is there a community forum?,Other,Low,Neutral,Customer_2269,5
67,2026-06-27T15:09:05.864228,Question about your roadmap priorities. This is urgent!,Other,Low,Positive,Customer_4788,8
68,2026-06-21T02:09:05.864228,How do I connect my database to the platform?,Technical Support,Medium,Neutral,Customer_8633,9
69,2026-05-31T21:09:05.864228,Can you help me configure LDAP authentication? Losing money on this.,Technical Support,Low,Negative,Customer_1320,11
70,2026-06-19T06:09:05.864228,Can you update my billing address?,Account,Low,Positive,Customer_9818,6
71,2026-06-23T06:09:05.864228,Your platform has transformed our workflow.,Other,Medium,Neutral,Customer_8956,6
72,2026-06-02T15:09:05.864228,Mobile app freezes when uploading files larger than 50MB. Please help ASAP.,Bug,Medium,Neutral,Customer_9751,12
73,2026-06-18T15:09:05.864228,Cannot login to my account. Getting 500 error on login page.,Bug,Critical,Negative,Customer_8564,11
74,2026-06-21T07:09:05.864228,Would love to see integration with Slack for notifications.,Feature Request,Low,Neutral,Customer_5558,9
75,2026-06-01T08:09:05.864228,How do I connect my database to the platform? This is urgent!,Technical Support,Low,Positive,Customer_4673,12
76,2026-06-25T19:09:05.864228,Just wanted to say thanks for great support! Thanks in advance.,Other,Low,Negative,Customer_3496,11
77,2026-06-09T11:09:05.864228,Can you implement two-factor authentication? Please help ASAP.,Feature Request,Low,Neutral,Customer_7043,8
78,2026-06-01T10:09:05.864228,Can we add dark mode to the platform? Thanks in advance.,Feature Request,Medium,Negative,Customer_2771,11
79,2026-06-09T13:09:05.864228,How do I delete my account?,Account,Low,Neutral,Customer_2245,6
80,2026-06-21T22:09:05.864228,How do I change my email address?,Account,Medium,Neutral,Customer_2983,7
81,2026-06-29T03:09:05.864228,How do I delete my account?,Account,High,Neutral,Customer_6590,6
82,2026-06-19T23:09:05.864228,Cannot login to my account. Getting 500 error on login page.,Bug,Critical,Negative,Customer_8532,11
83,2026-06-12T02:09:05.864228,Can you recommend best practices for scaling? Been waiting 3 days.,Other,Low,Positive,Customer_8921,11
84,2026-06-24T17:09:05.864228,How do I reset my API key?,Technical Support,Medium,Neutral,Customer_5569,7
85,2026-06-21T19:09:05.864228,How do I backup my data?,Technical Support,Low,Neutral,Customer_9098,6
86,2026-06-03T00:09:05.864228,Can I upgrade to the enterprise plan?,Billing,Low,Positive,Customer_5526,7
87,2026-06-18T04:09:05.864228,How do I change my email address?,Account,Low,Negative,Customer_4937,7
88,2026-06-22T12:09:05.864228,Is there a community forum? This is urgent!,Other,Medium,Neutral,Customer_7625,8
89,2026-06-15T08:09:05.864228,Question about your roadmap priorities.,Other,Low,Neutral,Customer_7971,5
90,2026-06-23T12:09:05.864228,Is there a community forum?,Other,Medium,Neutral,Customer_2976,5
91,2026-06-25T13:09:05.864228,Can you recommend best practices for scaling? Thanks in advance.,Other,Low,Positive,Customer_8933,10
92,2026-06-28T13:09:05.864228,I was charged but didn't confirm the transaction.,Billing,High,Negative,Customer_5853,8
93,2026-06-30T18:09:05.864228,Can you implement two-factor authentication?,Feature Request,Low,Neutral,Customer_5786,5
94,2026-07-01T01:09:05.864228,Is there a community forum?,Other,Critical,Negative,Customer_5658,5
95,2026-06-04T04:09:05.864228,How do I connect my database to the platform?,Technical Support,Medium,Neutral,Customer_2869,9
96,2026-06-06T01:09:05.864228,Cannot login to my account. Getting 500 error on login page.,Bug,High,Positive,Customer_5978,11
97,2026-06-06T00:09:05.864228,Mobile app freezes when uploading files larger than 50MB.,Bug,Critical,Neutral,Customer_4697,9
98,2026-06-22T01:09:05.864228,Can you update my billing address? Please help ASAP.,Account,Low,Negative,Customer_1986,9
99,2026-06-22T22:09:05.864228,"I forgot my password, please reset it.",Account,Critical,Neutral,Customer_2330,7
100,2026-06-16T21:09:05.864228,Would love to see integration with Slack for notifications.,Feature Request,Low,Neutral,Customer_8699,9
101,2026-06-28T22:09:05.864228,Can I upgrade to the enterprise plan? Please help ASAP.,Billing,Low,Positive,Customer_4824,10
102,2026-06-14T12:09:05.864228,I need an invoice for my payment on July 1st.,Billing,High,Negative,Customer_3441,10
103,2026-06-08T01:09:05.864228,I need an invoice for my payment on July 1st. Losing money on this.,Billing,High,Positive,Customer_5728,14
104,2026-06-14T04:09:05.864228,Can you help me configure LDAP authentication? Losing money on this.,Technical Support,Low,Neutral,Customer_8172,11
105,2026-07-01T17:09:05.864228,Export to CSV feature crashes when I select more than 1000 rows.,Bug,High,Negative,Customer_4750,12
106,2026-06-13T18:09:05.864228,Just wanted to say thanks for great support! Been waiting 3 days.,Other,High,Negative,Customer_3870,12
107,2026-06-13T06:09:05.864228,How do I reset my API key?,Technical Support,Medium,Neutral,Customer_9056,7
108,2026-06-04T14:09:05.864228,Export to CSV feature crashes when I select more than 1000 rows.,Bug,High,Negative,Customer_6403,12
109,2026-06-30T05:09:05.864228,Can you help me configure LDAP authentication? Losing money on this.,Technical Support,Medium,Positive,Customer_2442,11
110,2026-06-10T02:09:05.864228,Do you offer annual subscription discounts? This is urgent!,Billing,Medium,Positive,Customer_8569,9
111,2026-06-07T18:09:05.864228,How do I backup my data? Please help ASAP.,Technical Support,Low,Neutral,Customer_4335,9
112,2026-06-28T19:09:05.864228,Do you offer annual subscription discounts? Please help ASAP.,Billing,Medium,Negative,Customer_4920,9
113,2026-06-24T16:09:05.864228,Can you recommend best practices for scaling?,Other,Low,Neutral,Customer_8560,7
114,2026-06-23T06:09:05.864228,Export to CSV feature crashes when I select more than 1000 rows.,Bug,High,Neutral,Customer_8905,12
115,2026-06-12T03:09:05.864228,Can you help me configure LDAP authentication?,Technical Support,Low,Neutral,Customer_3236,7
116,2026-06-06T03:09:05.864228,Mobile app freezes when uploading files larger than 50MB.,Bug,Medium,Neutral,Customer_5377,9
117,2026-06-10T04:09:05.864228,Search function returns no results even though records exist.,Bug,Medium,Positive,Customer_3434,9
118,2026-06-17T09:09:05.864228,How do I backup my data? Please help ASAP.,Technical Support,Medium,Neutral,Customer_4090,9
119,2026-06-08T04:09:05.864228,Is there a community forum?,Other,Low,Neutral,Customer_7246,5
120,2026-06-30T15:09:05.864228,What's the maximum file size I can upload?,Technical Support,Critical,Negative,Customer_9229,8
121,2026-06-02T05:09:05.864228,How do I delete my account?,Account,Low,Positive,Customer_1251,6
122,2026-06-06T11:09:05.864228,Your platform has transformed our workflow.,Other,Low,Negative,Customer_6546,6
123,2026-06-19T09:09:05.864228,Can you update my billing address? Losing money on this.,Account,Medium,Neutral,Customer_8994,10
124,2026-06-18T16:09:05.864228,Can you update my billing address? This is urgent!,Account,Low,Positive,Customer_2646,9
125,2026-06-06T18:09:05.864228,How do I connect my database to the platform?,Technical Support,Low,Positive,Customer_5806,9
126,2026-06-10T14:09:05.864228,I was charged but didn't confirm the transaction.,Billing,Medium,Positive,Customer_3785,8
127,2026-06-16T01:09:05.864228,Can you implement two-factor authentication?,Feature Request,Low,Negative,Customer_3344,5
128,2026-06-03T05:09:05.864228,Please add bulk edit functionality for records.,Feature Request,Medium,Positive,Customer_5712,7
129,2026-06-11T06:09:05.864228,Question about your roadmap priorities. Been waiting 3 days.,Other,Medium,Positive,Customer_5097,9
130,2026-06-24T07:09:05.864228,Can you help me configure LDAP authentication? This is urgent!,Technical Support,High,Neutral,Customer_6881,10
131,2026-06-23T19:09:05.864228,How do I change my email address? Please help ASAP.,Account,Low,Neutral,Customer_1803,10
132,2026-06-12T08:09:05.864228,Can you update my billing address? Thanks in advance.,Account,Medium,Negative,Customer_4588,9
133,2026-06-02T23:09:05.864228,Your platform has transformed our workflow.,Other,Low,Positive,Customer_1645,6
134,2026-06-02T10:09:05.864228,Can I upgrade to the enterprise plan? This is urgent!,Billing,High,Positive,Customer_6352,10
135,2026-06-15T03:09:05.864228,Can you recommend best practices for scaling? Been waiting 3 days.,Other,Medium,Positive,Customer_5465,11
136,2026-06-08T09:09:05.864228,We need API access for custom integrations. Been waiting 3 days.,Feature Request,Low,Negative,Customer_2886,11
137,2026-06-01T02:09:05.864228,What's the maximum file size I can upload? Please help ASAP.,Technical Support,Critical,Neutral,Customer_6992,11
138,2026-06-19T22:09:05.864228,Search function returns no results even though records exist.,Bug,High,Positive,Customer_5295,9
139,2026-06-24T04:09:05.867152,Can you update my billing address?,Account,Low,Neutral,Customer_1410,6
140,2026-06-28T23:09:05.867152,I need to add team members to my workspace.,Account,High,Negative,Customer_8606,9
141,2026-06-30T10:09:05.867152,Your platform has transformed our workflow.,Other,Low,Neutral,Customer_9071,6
142,2026-06-19T22:09:05.867152,"Dashboard widgets not loading. Tried refreshing, still broken.",Bug,Low,Negative,Customer_9850,8
143,2026-06-05T04:09:05.867152,Can you help me configure LDAP authentication?,Technical Support,Medium,Neutral,Customer_7686,7
144,2026-06-24T08:09:05.867152,Do you offer annual subscription discounts?,Billing,Low,Neutral,Customer_2627,6
145,2026-06-23T13:09:05.867152,Question about your roadmap priorities.,Other,Low,Negative,Customer_3001,5
146,2026-06-06T09:09:05.867152,How do I backup my data? This is urgent!,Technical Support,Low,Positive,Customer_4990,9
147,2026-06-25T12:09:05.867152,Can you implement two-factor authentication?,Feature Request,High,Neutral,Customer_6383,5
148,2026-06-27T02:09:05.867152,Please add bulk edit functionality for records. Thanks in advance.,Feature Request,High,Negative,Customer_5106,10
149,2026-06-06T12:09:05.867152,Would love to see integration with Slack for notifications.,Feature Request,Low,Negative,Customer_6304,9
150,2026-06-08T17:09:05.867152,Mobile app freezes when uploading files larger than 50MB.,Bug,Medium,Positive,Customer_8802,9
151,2026-06-24T00:09:05.867152,How do I connect my database to the platform?,Technical Support,High,Negative,Customer_1710,9
152,2026-06-11T19:09:05.867152,Can you recommend best practices for scaling?,Other,High,Negative,Customer_1996,7
153,2026-06-02T05:09:05.867152,How do I connect my database to the platform?,Technical Support,High,Negative,Customer_2204,9
154,2026-06-11T01:09:05.867152,"Dashboard widgets not loading. Tried refreshing, still broken.",Bug,Medium,Positive,Customer_9984,8
155,2026-06-15T00:09:05.867152,Can you recommend best practices for scaling?,Other,Low,Negative,Customer_8048,7
156,2026-06-18T05:09:05.867152,Search function returns no results even though records exist. Thanks in advance.,Bug,High,Neutral,Customer_4743,12
157,2026-06-18T09:09:05.867152,Can you help me configure LDAP authentication? Been waiting 3 days.,Technical Support,Low,Neutral,Customer_5176,11
158,2026-06-05T17:09:05.867152,Do you offer annual subscription discounts?,Billing,Critical,Negative,Customer_2527,6
159,2026-06-13T02:09:05.867152,What's the maximum file size I can upload?,Technical Support,Low,Neutral,Customer_6400,8
160,2026-06-01T10:09:05.867152,Is there a community forum? This is urgent!,Other,Low,Neutral,Customer_6119,8
161,2026-06-24T16:09:05.867152,I need an invoice for my payment on July 1st.,Billing,Low,Neutral,Customer_6736,10
162,2026-06-18T02:09:05.867152,I need to add team members to my workspace.,Account,Low,Neutral,Customer_1430,9
163,2026-06-22T21:09:05.867152,Can you update my billing address?,Account,Critical,Negative,Customer_6062,6
164,2026-06-19T17:09:05.867152,I need an invoice for my payment on July 1st.,Billing,Medium,Positive,Customer_3324,10
165,2026-06-18T05:09:05.867152,Can you recommend best practices for scaling?,Other,Medium,Positive,Customer_6585,7
166,2026-06-03T18:09:05.867152,Can you implement two-factor authentication?,Feature Request,Low,Neutral,Customer_3549,5
